
Name                                                 AppID                                                             
----                                                 -----                                                             
?Torrent                                             C:\Users\Hariom\AppData\Roaming\utorrent\uTorrent.exe             
7-Zip File Manager                                   {7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\7-Zip\7zFM.exe             
7-Zip Help                                           {7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\7-Zip\7-zip.chm            
About Java                                           Microsoft.AutoGenerated.{9BA1570A-12A9-B37A-69E9-5080EEAC0F06}    
Access                                               Microsoft.Office.MSACCESS.EXE.15                                  
Acer Jumpstart                                       Hermes.Client.Jumpstart                                           
Activation                                           {7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\Foxit Software\Foxit Pha...
Advanced System Repair Pro                           {7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\Advanced System Repair P...
Agoda                                                https://s3.amazonaws.com/amundsen/redirect/19q2/agoda.html?utm_...
Anaconda Navigator                                   anaconda.AnacondaNavigator.anaconda3.base                         
Anaconda PowerShell Prompt                           anaconda.PowerShell.anaconda3.base                                
Anaconda Prompt                                      anaconda.CmdExe.anaconda3.base                                    
Android Studio                                       {6D809377-6AF0-444B-8957-A3773F02200E}\Android\Android Studio\b...
Calculator                                           Microsoft.WindowsCalculator_8wekyb3d8bbwe!App                     
Calendar                                             microsoft.windowscommunicationsapps_8wekyb3d8bbwe!microsoft.win...
Camera                                               Microsoft.WindowsCamera_8wekyb3d8bbwe!App                         
Character Map                                        {1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\charmap.exe                
Check For Updates                                    Microsoft.AutoGenerated.{679499FB-79D1-4762-D1F9-5C46D13BB11A}    
Click to Do (preview)                                MicrosoftWindows.Client.CoreAI_cw5n1h2txyewy!ClickToDoApp         
Clock                                                Microsoft.WindowsAlarms_8wekyb3d8bbwe!App                         
Command Prompt                                       {1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\cmd.exe                    
Component Services                                   {1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\comexp.msc                 
Computer Management                                  Microsoft.AutoGenerated.{8ABD94FB-E7D6-84A6-A997-C918EDDE0AE5}    
Configure Java                                       {6D809377-6AF0-444B-8957-A3773F02200E}\Java\jre1.8.0_202\bin\ja...
Control Panel                                        Microsoft.Windows.ControlPanel                                    
Copilot                                              Microsoft.Copilot_8wekyb3d8bbwe!App                               
Creative App                                         {7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\Creative\Creative App\Cr...
Cursor                                               Anysphere.Cursor                                                  
Database Compare                                     Microsoft.Office.DATABASECOMPARE.EXE.15                           
Debuggable Package Manager                           Microsoft.AutoGenerated.{96690F80-0B7F-841E-E0DB-CC38AC5C839F}    
Defragment and Optimize Drives                       {1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\dfrgui.exe                 
Dev Home                                             Microsoft.Windows.DevHome_8wekyb3d8bbwe!App                       
Developer Command Prompt for VS 2019                 Microsoft.AutoGenerated.{DC571BEA-D7E6-C3E3-185D-11AC9AF17B4D}    
Developer Command Prompt for VS 2022                 Microsoft.AutoGenerated.{AF786F56-C95A-2910-4FF9-116D53266237}    
Developer PowerShell for VS 2019                     Microsoft.AutoGenerated.{41BA4C48-6E0D-16AB-EAFF-4B55B908B5F3}    
Developer PowerShell for VS 2022                     Microsoft.AutoGenerated.{C878004C-4E37-8847-547D-7B17360EE60B}    
Discord                                              com.squirrel.Discord.Discord                                      
Disk Cleanup                                         {1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\cleanmgr.exe               
Documentation                                        {7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\VideoLAN\VLC\Documentati...
Event Viewer                                         Microsoft.AutoGenerated.{BB044BFD-25B7-2FAA-22A8-6371A93E0456}    
Excel                                                Microsoft.Office.EXCEL.EXE.15                                     
Family                                               MicrosoftCorporationII.MicrosoftFamily_8wekyb3d8bbwe!App          
Feedback Hub                                         Microsoft.WindowsFeedbackHub_8wekyb3d8bbwe!App                    
File Explorer                                        Microsoft.Windows.Explorer                                        
Films & TV                                           Microsoft.ZuneVideo_8wekyb3d8bbwe!Microsoft.ZuneVideo             
Firefox                                              308046B0AF4A39CB                                                  
Firefox Private Browsing                             308046B0AF4A39CB;PrivateBrowsingAUMID                             
Fn hotkeys and OSD                                   CLEVOCO.FnhotkeysandOSD_6h6z29zh29qx0!App                         
Foxit PhantomPDF                                     {7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\Foxit Software\Foxit Pha...
Game Bar                                             Microsoft.XboxGamingOverlay_8wekyb3d8bbwe!App                     
Get Help                                             http://java.com/help                                              
Get Help                                             Microsoft.GetHelp_8wekyb3d8bbwe!App                               
Get Started                                          MicrosoftWindows.Client.CBS_cw5n1h2txyewy!WebExperienceHost       
Git Bash                                             Microsoft.AutoGenerated.{0FDD9C6B-656B-0F1F-AB08-B1CDBB7067B3}    
Git CMD                                              Microsoft.AutoGenerated.{29591C0F-7C09-B655-C0EB-8544FCA7D1DE}    
Git FAQs (Frequently Asked Questions)                https://github.com/git-for-windows/git/wiki/FAQ                   
